image,success,events,successful_events,success_rate,detections
poison_000000047740.jpg,1,4,4,1.0,0
poison_000000047801.jpg,1,5,5,1.0,0
poison_000000047819.jpg,1,1,1,1.0,1
poison_000000047828.jpg,1,11,11,1.0,0
poison_000000048153.jpg,1,1,1,1.0,0
poison_000000048396.jpg,1,2,2,1.0,1
poison_000000048504.jpg,1,2,2,1.0,1
poison_000000048555.jpg,1,3,3,1.0,0
poison_000000048564.jpg,1,1,1,1.0,0
poison_000000049060.jpg,1,6,6,1.0,0
poison_000000049259.jpg,1,1,1,1.0,0
poison_000000049759.jpg,1,14,14,1.0,0
poison_000000050006.jpg,1,2,2,1.0,1
poison_000000050145.jpg,1,4,4,1.0,0
poison_000000050326.jpg,1,1,1,1.0,0
poison_000000050380.jpg,1,3,3,1.0,0
poison_000000050638.jpg,1,1,1,1.0,0
poison_000000050811.jpg,1,1,1,1.0,5
